state,county,cell_id,fold
01,011,RB-HI,5
01,047,RB-HI,3
01,065,RB-HI,1
01,087,RB-HI,2
01,101,RB-HI,1
01,131,RB-HI,1
05,107,RB-HI,5
12,039,RB-HI,2
13,021,RB-HI,3
13,037,RB-HI,3
13,063,RB-HI,1
13,095,RB-HI,5
13,141,RB-HI,1
13,245,RB-HI,4
13,259,RB-HI,4
22,071,RB-HI,3
22,091,RB-HI,5
28,011,RB-HI,3
28,025,RB-HI,2
28,027,RB-HI,4
28,029,RB-HI,4
28,049,RB-HI,2
28,051,RB-HI,5
28,053,RB-HI,5
28,083,RB-HI,1
28,113,RB-HI,4
28,143,RB-HI,5
28,151,RB-HI,1
28,163,RB-HI,2
37,065,RB-HI,1
37,083,RB-HI,4
45,067,RB-HI,2
45,075,RB-HI,2
47,075,RB-HI,3
47,157,RB-HI,2
51,730,RB-HI,4
28,125,RB-HI,3
04,023,RH-HI,1
12,051,RH-HI,3
12,086,RH-HI,2
12,097,RH-HI,4
35,013,RH-HI,5
36,005,RH-HI,3
40,139,RH-HI,3
48,013,RH-HI,1
48,029,RH-HI,2
48,055,RH-HI,4
48,061,RH-HI,2
48,111,RH-HI,2
48,135,RH-HI,4
48,141,RH-HI,2
48,215,RH-HI,4
48,249,RH-HI,5
48,273,RH-HI,3
48,323,RH-HI,1
48,355,RH-HI,5
48,377,RH-HI,4
48,427,RH-HI,1
48,463,RH-HI,5
48,465,RH-HI,1
48,479,RH-HI,5
48,489,RH-HI,1
48,507,RH-HI,3
02,290,RNA-HI,2
04,001,RNA-HI,3
04,017,RNA-HI,1
35,031,RNA-HI,2
38,085,RNA-HI,5
40,001,RNA-HI,5
46,007,RNA-HI,1
46,041,RNA-HI,3
46,102,RNA-HI,4
46,121,RNA-HI,4
12,017,RW-HI,4
13,011,RW-HI,4
13,025,RW-HI,3
13,187,RW-HI,4
18,035,RW-HI,5
18,167,RW-HI,4
21,051,RW-HI,3
21,121,RW-HI,3
21,147,RW-HI,2
21,207,RW-HI,5
21,237,RW-HI,3
29,015,RW-HI,2
29,023,RW-HI,4
29,035,RW-HI,5
29,059,RW-HI,5
29,085,RW-HI,2
29,091,RW-HI,5
29,141,RW-HI,3
29,147,RW-HI,5
29,149,RW-HI,1
29,161,RW-HI,5
29,223,RW-HI,4
37,189,RW-HI,1
39,075,RW-HI,1
46,027,RW-HI,5
47,029,RW-HI,1
47,041,RW-HI,2
47,057,RW-HI,1
47,067,RW-HI,1
47,077,RW-HI,1
47,087,RW-HI,5
47,091,RW-HI,1
47,111,RW-HI,3
47,121,RW-HI,1
47,123,RW-HI,2
47,137,RW-HI,4
47,151,RW-HI,2
47,153,RW-HI,4
47,173,RW-HI,2
47,179,RW-HI,3
47,185,RW-HI,4
51,105,RW-HI,3
51,530,RW-HI,2
54,015,RW-HI,1
54,047,RW-HI,3
54,059,RW-HI,2
01,015,SB-MC,1
01,089,SB-MC,1
01,101,SB-MC,2
01,125,SB-MC,4
10,001,SB-MC,5
12,073,SB-MC,3
13,021,SB-MC,1
13,051,SB-MC,3
13,063,SB-MC,4
13,097,SB-MC,1
13,151,SB-MC,2
13,153,SB-MC,2
13,215,SB-MC,3
13,245,SB-MC,2
17,115,SB-MC,5
17,143,SB-MC,4
17,163,SB-MC,5
17,167,SB-MC,5
17,201,SB-MC,1
19,013,SB-MC,2
22,017,SB-MC,5
22,019,SB-MC,3
22,055,SB-MC,2
22,073,SB-MC,2
22,079,SB-MC,5
22,103,SB-MC,2
22,105,SB-MC,1
22,109,SB-MC,4
23,001,SB-MC,5
24,043,SB-MC,4
26,077,SB-MC,1
26,121,SB-MC,2
26,145,SB-MC,4
28,049,SB-MC,1
28,059,SB-MC,3
34,001,SB-MC,3
34,021,SB-MC,2
36,001,SB-MC,5
37,051,SB-MC,3
37,063,SB-MC,3
37,071,SB-MC,3
37,129,SB-MC,2
37,147,SB-MC,4
39,099,SB-MC,5
42,007,SB-MC,3
42,043,SB-MC,3
45,003,SB-MC,4
45,013,SB-MC,5
45,015,SB-MC,5
45,019,SB-MC,1
45,041,SB-MC,4
45,063,SB-MC,4
45,075,SB-MC,1
45,079,SB-MC,1
45,091,SB-MC,4
47,065,SB-MC,5
48,039,SB-MC,4
51,041,SB-MC,2
51,087,SB-MC,2
51,153,SB-MC,3
51,550,SB-MC,2
51,650,SB-MC,1
51,700,SB-MC,1
51,710,SB-MC,3
